text,created_at,retweet_count,favorite_count,is_retweet,id_str
They and the Lamestream Media (including Jake) have spent 3 1/2 years illegally smearing me. They got caught! https://t.co/J7tOWPGkUK,5/17/20 23:09,17108,56794,FALSE,1.26216E+18
The most incompetent and corrupt administration in U.S. history! https://t.co/NhmfQoOKS8,5/17/20 23:03,16468,57081,FALSE,1.26216E+18
A CNN Faker! https://t.co/boSTXeIWcU,5/17/20 23:01,30441,100918,FALSE,1.26216E+18
The number of Coronavirus cases is strongly trending downward throughout the United States with few exceptions. Very good news indeed!,5/17/20 22:56,36984,202534,FALSE,1.26216E+18
https://t.co/YHnkBDfS3r,5/17/20 21:59,12807,45632,FALSE,1.26214E+18
Wall is going up fast. 184 miles as of today! https://t.co/oVWldDzAfQ,5/17/20 21:17,19164,66724,FALSE,1.26213E+18
Hard to believe considering the Lamestream Media is totally corrupt. The people understand! https://t.co/4duVyJzcuY,5/17/20 21:11,13236,49795,FALSE,1.26213E+18
A great guy a great book! https://t.co/fG7YXOCk9R,5/17/20 21:04,9127,38294,FALSE,1.26213E+18
Fake Journalism. So bad for our Country! https://t.co/70j1l8mW9S,5/17/20 19:48,14779,51799,FALSE,1.26211E+18
The Obama Administration is turning out to be one of the most corrupt and incompetent in U.S. history. Remember he and Sleepy Joe are the reasons I am in the White House!!!,5/17/20 19:28,64486,273310,FALSE,1.2621E+18
Lacy will do a great job. Omar is a corrupt disaster! https://t.co/hxhrMrWXOJ,5/17/20 19:19,21165,71879,FALSE,1.2621E+18
"Thank you very much to our beautiful ""boaters."" I will never let you down! #MAGA https://t.co/BiqIqzgOcL",5/17/20 14:15,31310,147195,FALSE,1.26202E+18
Doing REALLY well medically on solving the CoronaVirus situation (Plague!). It will happen!,5/17/20 14:01,31254,187891,FALSE,1.26202E+18
"Phyllis George was a great person and a true pioneer for women in television. The NFL could not have made a better ""pick"" when they choose Phyllis to be the first woman to represent them. Also a wonderful First Lady of Kentucky as the wife of Gov. John Y. Brown....",5/17/20 12:34,13377,76573,FALSE,1.262E+18
....May Phyllis Rest In Peace. Warmest condolences to her beloved family!!!,5/17/20 12:34,8224,52623,FALSE,1.262E+18
Great Rally and fantastic job on @ffweekend this morning. It is all happening! #MAGA https://t.co/ZdJqYDhENy,5/17/20 12:13,11821,45024,FALSE,1.26199E+18
I will be interviewed by @MariaBartiromo at 10:00 A.M. on @FoxNews. Thank you!,5/17/20 4:58,19515,102828,FALSE,1.26188E+18
.....are therefore given massive advantages over The United States and everyone else? Prior to the Plague floating in from China our Economy was blowing everybody away the best of any country EVER. We will be there again and soon!,5/16/20 22:58,26312,123360,FALSE,1.26179E+18
"Why is it that China for decades and with a population much bigger than ours is paying a tiny fraction of $'s to The World Health Organization The United Nations and worst of all The World Trade Organization where they are considered a so-called ""developing country"" and...",5/16/20 22:58,41383,174328,FALSE,1.26179E+18
Doing a GREAT job! https://t.co/OYRpiYiXpp,5/16/20 22:33,32711,151083,FALSE,1.26179E+18
Thank you! https://t.co/oARCqHpblU,5/16/20 22:32,12662,52771,FALSE,1.26179E+18
OBAMAGATE!,5/16/20 20:14,89227,358559,FALSE,1.26175E+18
https://t.co/L3sxMC9fXm,5/16/20 19:57,82932,263120,FALSE,1.26175E+18
https://t.co/p2NN08cDgl,5/16/20 19:25,19311,85486,FALSE,1.26174E+18
Mitch I love you but this is 100% true. Time is running out. Get tough and move quickly or it will be too late. The Dems are vicious but got caught. They MUST pay a big price for what they have done to our Country. Don't let them get away with this! @LindseyGrahamSC https://t.co/PplfqTJdHc,5/16/20 15:51,35079,95193,FALSE,1.26169E+18
This is true. I say it all the time. The Republicans must play by the same rules or die! Wow Mollie you are good. https://t.co/CThwiLRn9F,5/16/20 15:36,23240,72486,FALSE,1.26168E+18
"Really sad but even ""sadder"" watch flunky @Lawrence CRY when I whipped his mind &amp; he was FORCED to apologize to me over Apprentice fees. Even Psycho Cold Case Joe Scarborough (bad ratings) beat him up on air unmercifully. Find tapes &amp; play (5 years back?). https://t.co/JPbJd4f5UV",5/16/20 15:32,12153,39458,FALSE,1.26168E+18
Amazing! https://t.co/TAfFJ1rWWN,5/16/20 15:09,14137,47173,FALSE,1.26168E+18
One of a kind! https://t.co/k2zvDsELo5,5/16/20 15:03,12690,44091,FALSE,1.26167E+18
