"age_class","pop","prop_cases_tmax","prop_mort_tmax"
"0-9",0.118574863476131,0.00931232091690544,0
"10-19",0.115752003134772,0.0122895773638968,0.000977517106549365
"20-29",0.12863483070627,0.0810127148997135,0.00684261974584555
"30-39",0.158984676786142,0.17012893982808,0.0175953079178886
"40-49",0.150148122961526,0.191865150429799,0.0371456500488759
"50-59",0.154368236677233,0.224032951289398,0.127077223851417
"60-69",0.105371638917985,0.192133775071633,0.302052785923754
"70-79",0.0496721490268388,0.0877059455587393,0.304985337243402
"80+",0.0184934783131012,0.0315186246418338,0.203323558162268
